entry_rsi_20 | 1999-04-22 ENTRY: S=46.2895 K=32.0 exp=2000-04-20 Tpx=$25.32 px=$16.88 contracts=1 cost=$1,688.86 rsi=57.22546642071409 sigma=0.3975790287422722
entry_rsi_20 | 2000-02-08 ENTRY: S=87.0091 K=50.0 exp=2001-02-16 Tpx=$65.78 px=$43.85 contracts=1 cost=$4,385.89 rsi=66.27272584928828 sigma=0.6472058300740338
entry_rsi_30 | 2000-03-06 Exit: S=94.9008 K=42.0 exp=2001-02-16 hit_profit=True Tpx=$55.08 px=$55.60  contracts=1 pos_value=$5,560.44 qquity=$12,976.20 rsi=67.30525103783975 sigma=0.4702942080338296 holding_days=38
entry_rsi_30 | 2000-03-15 ENTRY: S=87.2214 K=59.0 exp=2001-03-16 Tpx=$51.06 px=$34.04 contracts=1 cost=$3,404.89 rsi=46.937009767497486 sigma=0.43239420653192256
entry_rsi_20 | 2000-08-07 Exit: S=78.2112 K=50.0 exp=2001-02-16 hit_profit=False Tpx=$65.78 px=$30.19  contracts=1 pos_value=$3,018.89 qquity=$10,368.18 rsi=48.744467207224695 sigma=0.40353822778754206 holding_days=181
entry_rsi_20 | 2000-08-07 ENTRY: S=78.2112 K=54.0 exp=2001-08-17 Tpx=$44.09 px=$29.39 contracts=1 cost=$2,940.13 rsi=48.744467207224695 sigma=0.40353822778754206
entry_rsi_30 | 2000-09-11 Exit: S=78.6809 K=59.0 exp=2001-03-16 hit_profit=False Tpx=$51.06 px=$22.09  contracts=1 pos_value=$2,209.11 qquity=$11,779.76 rsi=42.73044703429116 sigma=0.3219774554466685 holding_days=180
entry_rsi_30 | 2000-09-11 ENTRY: S=78.6809 K=58.0 exp=2001-09-21 Tpx=$38.44 px=$25.63 contracts=1 cost=$2,563.63 rsi=42.73044703429116 sigma=0.3219774554466685
entry_rsi_20 | 2001-02-05 Exit: S=52.1423 K=54.0 exp=2001-08-17 hit_profit=False Tpx=$44.09 px=$8.17  contracts=1 pos_value=$816.96 qquity=$8,244.36 rsi=44.21206155911091 sigma=0.5585 holding_days=182
entry_rsi_20 | 2001-02-05 ENTRY: S=52.1423 K=31.0 exp=2002-02-15 Tpx=$36.59 px=$24.40 contracts=1 cost=$2,440.15 rsi=44.21206155911091 sigma=0.5585
entry_rsi_30 | 2001-03-12 Exit: S=35.862 K=58.0 exp=2001-09-21 hit_profit=False Tpx=$38.44 px=$2.11  contracts=1 pos_value=$210.64 qquity=$9,426.13 rsi=26.685614673056605 sigma=0.6809999999999999 holding_days=182
entry_rsi_30 | 2001-03-13 ENTRY: S=37.6837 K=21.0 exp=2002-03-15 Tpx=$28.94 px=$19.29 contracts=1 cost=$1,930.13 rsi=33.330820070022455 sigma=0.6731
entry_rsi_20 | 2001-08-06 Exit: S=36.0332 K=31.0 exp=2002-02-15 hit_profit=False Tpx=$36.59 px=$7.88  contracts=1 pos_value=$787.52 qquity=$6,591.08 rsi=49.35012491406903 sigma=0.4731 holding_days=182
entry_rsi_20 | 2001-08-06 ENTRY: S=36.0332 K=23.0 exp=2002-08-16 Tpx=$22.41 px=$14.94 contracts=1 cost=$1,494.85 rsi=49.35012491406903 sigma=0.4731
entry_rsi_30 | 2001-09-10 Exit: S=28.9106 K=21.0 exp=2002-03-15 hit_profit=False Tpx=$28.94 px=$9.41  contracts=1 pos_value=$940.68 qquity=$8,436.03 rsi=32.007250870106645 sigma=0.5740999999999999 holding_days=181
entry_rsi_30 | 2001-09-10 ENTRY: S=28.9106 K=17.0 exp=2002-09-20 Tpx=$20.35 px=$13.57 contracts=1 cost=$1,357.27 rsi=32.007250870106645 sigma=0.5740999999999999
entry_rsi_20 | 2002-02-04 Exit: S=31.2982 K=23.0 exp=2002-08-16 hit_profit=False Tpx=$22.41 px=$9.17  contracts=1 pos_value=$916.93 qquity=$6,012.51 rsi=37.723929682161604 sigma=0.4178 holding_days=182
entry_rsi_20 | 2002-02-04 ENTRY: S=31.2982 K=20.0 exp=2003-02-21 Tpx=$18.70 px=$12.46 contracts=1 cost=$1,247.06 rsi=37.723929682161604 sigma=0.4178
entry_rsi_30 | 2002-03-11 Exit: S=32.6619 K=17.0 exp=2002-09-20 hit_profit=False Tpx=$20.35 px=$15.91  contracts=1 pos_value=$1,591.17 qquity=$8,669.28 rsi=59.94250873897453 sigma=0.3847 holding_days=182
entry_rsi_30 | 2002-03-14 ENTRY: S=31.2523 K=21.0 exp=2003-03-21 Tpx=$17.16 px=$11.44 contracts=1 cost=$1,144.92 rsi=49.770574088610395 sigma=0.3786
entry_rsi_20 | 2002-08-05 Exit: S=18.1787 K=20.0 exp=2003-02-21 hit_profit=False Tpx=$18.70 px=$2.51  contracts=1 pos_value=$250.57 qquity=$5,015.37 rsi=35.44840340384279 sigma=0.5859000000000001 holding_days=182
entry_rsi_20 | 2002-08-05 ENTRY: S=18.1787 K=10.0 exp=2003-08-15 Tpx=$13.43 px=$8.95 contracts=1 cost=$895.70 rsi=35.44840340384279 sigma=0.5859000000000001
entry_rsi_30 | 2002-09-10 Exit: S=20.0502 K=21.0 exp=2003-03-21 hit_profit=False Tpx=$17.16 px=$2.62  contracts=1 pos_value=$261.66 qquity=$7,785.37 rsi=48.92219654016708 sigma=0.5069 holding_days=180
entry_rsi_30 | 2002-09-10 ENTRY: S=20.0502 K=12.0 exp=2003-09-19 Tpx=$13.30 px=$8.87 contracts=1 cost=$887.31 rsi=48.92219654016708 sigma=0.5069
entry_rsi_20 | 2002-11-21 Exit: S=23.508 K=10.0 exp=2003-08-15 hit_profit=True Tpx=$13.43 px=$13.63  contracts=1 pos_value=$1,362.84 qquity=$5,481.85 rsi=67.44159278639518 sigma=0.4021 holding_days=108
entry_rsi_20 | 2002-11-21 ENTRY: S=23.508 K=15.0 exp=2003-11-21 Tpx=$13.78 px=$9.19 contracts=1 cost=$919.52 rsi=67.44159278639518 sigma=0.4021
entry_rsi_30 | 2003-03-10 Exit: S=20.3538 K=12.0 exp=2003-09-19 hit_profit=False Tpx=$13.30 px=$8.50  contracts=1 pos_value=$850.45 qquity=$7,747.86 rsi=41.39371979625867 sigma=0.4253 holding_days=181
entry_rsi_30 | 2003-03-10 ENTRY: S=20.3538 K=13.0 exp=2004-03-19 Tpx=$12.00 px=$8.00 contracts=1 cost=$800.90 rsi=41.39371979625867 sigma=0.4253
entry_rsi_20 | 2003-05-20 Exit: S=23.5442 K=15.0 exp=2003-11-21 hit_profit=False Tpx=$13.78 px=$8.64  contracts=1 pos_value=$864.49 qquity=$5,426.18 rsi=50.72357427072666 sigma=0.2879 holding_days=180
entry_rsi_20 | 2003-05-20 ENTRY: S=23.5442 K=17.0 exp=2004-05-21 Tpx=$10.61 px=$7.07 contracts=1 cost=$708.04 rsi=50.72357427072666 sigma=0.2879
entry_rsi_30 | 2003-05-30 Exit: S=25.2601 K=13.0 exp=2004-03-19 hit_profit=True Tpx=$12.00 px=$12.38  contracts=1 pos_value=$1,238.36 qquity=$8,184.67 rsi=68.34753099364924 sigma=0.2834 holding_days=81
entry_rsi_30 | 2003-06-24 ENTRY: S=25.1614 K=18.0 exp=2004-07-16 Tpx=$11.60 px=$7.73 contracts=1 cost=$773.66 rsi=49.91150720304687 sigma=0.2916
entry_rsi_20 | 2003-07-08 Exit: S=27.3658 K=17.0 exp=2004-05-21 hit_profit=True Tpx=$10.61 px=$10.65  contracts=1 pos_value=$1,064.67 qquity=$5,782.16 rsi=68.17923986802188 sigma=0.3107 holding_days=49
entry_rsi_20 | 2003-07-08 ENTRY: S=27.3658 K=19.0 exp=2004-07-16 Tpx=$13.47 px=$8.98 contracts=1 cost=$898.37 rsi=68.17923986802188 sigma=0.3107
entry_rsi_30 | 2003-09-18 Exit: S=29.4852 K=18.0 exp=2004-07-16 hit_profit=True Tpx=$11.60 px=$11.71  contracts=1 pos_value=$1,171.40 qquity=$8,581.75 rsi=66.52100733252678 sigma=0.2749 holding_days=86
entry_rsi_30 | 2003-09-24 ENTRY: S=28.1637 K=20.0 exp=2004-10-15 Tpx=$13.26 px=$8.84 contracts=1 cost=$884.49 rsi=48.32097669079496 sigma=0.29359999999999997
entry_rsi_20 | 2004-01-05 Exit: S=31.4627 K=19.0 exp=2004-07-16 hit_profit=False Tpx=$13.47 px=$12.60  contracts=1 pos_value=$1,259.98 qquity=$6,143.12 rsi=68.12386825844982 sigma=0.2389 holding_days=181
entry_rsi_20 | 2004-01-05 ENTRY: S=31.4627 K=24.0 exp=2005-01-21 Tpx=$12.30 px=$8.20 contracts=1 cost=$820.52 rsi=68.12386825844982 sigma=0.2389
entry_rsi_30 | 2004-03-22 Exit: S=29.1025 K=20.0 exp=2004-10-15 hit_profit=False Tpx=$13.26 px=$9.29  contracts=1 pos_value=$929.37 qquity=$8,625.98 rsi=33.29047504095796 sigma=0.27149999999999996 holding_days=180
entry_rsi_30 | 2004-03-22 ENTRY: S=29.1025 K=21.0 exp=2005-04-15 Tpx=$13.11 px=$8.74 contracts=1 cost=$874.62 rsi=33.29047504095796 sigma=0.27149999999999996
entry_rsi_20 | 2004-07-06 Exit: S=30.557 K=24.0 exp=2005-01-21 hit_profit=False Tpx=$12.30 px=$6.95  contracts=1 pos_value=$695.09 qquity=$6,017.04 rsi=43.83391530714022 sigma=0.2211 holding_days=183
entry_rsi_20 | 2004-07-06 ENTRY: S=30.557 K=24.0 exp=2005-07-15 Tpx=$11.15 px=$7.43 contracts=1 cost=$743.70 rsi=43.83391530714022 sigma=0.2211
entry_rsi_30 | 2004-09-20 Exit: S=30.0471 K=21.0 exp=2005-04-15 hit_profit=False Tpx=$13.11 px=$9.31  contracts=1 pos_value=$930.65 qquity=$8,681.36 rsi=60.41708680355264 sigma=0.20559999999999998 holding_days=182
entry_rsi_30 | 2004-09-27 ENTRY: S=29.2601 K=23.0 exp=2005-10-21 Tpx=$10.71 px=$7.14 contracts=1 cost=$714.60 rsi=46.1125149234216 sigma=0.2192
entry_rsi_30 | 2004-11-17 Exit: S=33.1746 K=23.0 exp=2005-10-21 hit_profit=True Tpx=$10.71 px=$10.73  contracts=1 pos_value=$1,072.55 qquity=$9,038.66 rsi=74.51502537377506 sigma=0.185 holding_days=51
entry_rsi_20 | 2005-01-03 Exit: S=33.8267 K=24.0 exp=2005-07-15 hit_profit=False Tpx=$11.15 px=$10.19  contracts=1 pos_value=$1,018.56 qquity=$6,291.25 rsi=52.28794263495549 sigma=0.195 holding_days=181
entry_rsi_20 | 2005-01-03 ENTRY: S=33.8267 K=28.0 exp=2006-01-20 Tpx=$10.58 px=$7.05 contracts=1 cost=$705.77 rsi=52.28794263495549 sigma=0.195
entry_rsi_30 | 2005-01-04 ENTRY: S=33.208 K=27.0 exp=2006-01-20 Tpx=$11.04 px=$7.36 contracts=1 cost=$736.94 rsi=41.78629495381675 sigma=0.2006
entry_rsi_30 | 2005-07-05 Exit: S=31.8064 K=27.0 exp=2006-01-20 hit_profit=False Tpx=$11.04 px=$5.38  contracts=1 pos_value=$537.92 qquity=$8,839.00 rsi=46.79876231468694 sigma=0.145 holding_days=182
entry_rsi_30 | 2005-07-05 ENTRY: S=31.8064 K=28.0 exp=2006-07-21 Tpx=$7.67 px=$5.12 contracts=1 cost=$512.26 rsi=46.79876231468694 sigma=0.145
entry_rsi_20 | 2005-07-05 Exit: S=31.8064 K=28.0 exp=2006-01-20 hit_profit=False Tpx=$10.58 px=$4.47  contracts=1 pos_value=$446.66 qquity=$6,031.48 rsi=46.79876231468694 sigma=0.145 holding_days=183
entry_rsi_20 | 2005-07-05 ENTRY: S=31.8064 K=28.0 exp=2006-07-21 Tpx=$7.67 px=$5.12 contracts=1 cost=$512.26 rsi=46.79876231468694 sigma=0.145
entry_rsi_30 | 2005-11-11 Exit: S=34.887 K=28.0 exp=2006-07-21 hit_profit=True Tpx=$7.67 px=$7.74  contracts=1 pos_value=$773.60 qquity=$9,099.69 rsi=69.67272557087986 sigma=0.1421 holding_days=129
entry_rsi_20 | 2005-11-11 Exit: S=34.887 K=28.0 exp=2006-07-21 hit_profit=True Tpx=$7.67 px=$7.74  contracts=1 pos_value=$773.60 qquity=$6,292.17 rsi=69.67272557087986 sigma=0.1421 holding_days=129
entry_rsi_20 | 2005-11-11 ENTRY: S=34.887 K=31.0 exp=2006-11-17 Tpx=$8.28 px=$5.52 contracts=1 cost=$552.73 rsi=69.67272557087986 sigma=0.1421
entry_rsi_30 | 2005-12-19 ENTRY: S=35.1562 K=31.0 exp=2007-01-19 Tpx=$8.82 px=$5.88 contracts=1 cost=$588.62 rsi=45.67527505739469 sigma=0.1423
entry_rsi_20 | 2006-05-10 Exit: S=35.8237 K=31.0 exp=2006-11-17 hit_profit=False Tpx=$8.28 px=$5.71  contracts=1 pos_value=$571.13 qquity=$6,309.92 rsi=46.549083042899795 sigma=0.1485 holding_days=180
entry_rsi_20 | 2006-05-10 ENTRY: S=35.8237 K=31.0 exp=2007-05-18 Tpx=$9.89 px=$6.59 contracts=1 cost=$659.96 rsi=46.549083042899795 sigma=0.1485
entry_rsi_30 | 2006-06-19 Exit: S=32.7194 K=31.0 exp=2007-01-19 hit_profit=False Tpx=$8.82 px=$3.70  contracts=1 pos_value=$369.80 qquity=$8,880.22 rsi=40.50684640944474 sigma=0.22039999999999998 holding_days=182
entry_rsi_30 | 2006-06-19 ENTRY: S=32.7194 K=26.0 exp=2007-07-20 Tpx=$12.72 px=$8.48 contracts=1 cost=$848.89 rsi=40.50684640944474 sigma=0.22039999999999998
entry_rsi_20 | 2006-11-06 Exit: S=36.6196 K=31.0 exp=2007-05-18 hit_profit=False Tpx=$9.89 px=$6.55  contracts=1 pos_value=$655.31 qquity=$6,304.63 rsi=60.1564140744648 sigma=0.1739 holding_days=180
entry_rsi_20 | 2006-11-06 ENTRY: S=36.6196 K=31.0 exp=2007-11-16 Tpx=$11.23 px=$7.49 contracts=1 cost=$749.46 rsi=60.1564140744648 sigma=0.1739
entry_rsi_30 | 2006-11-15 Exit: S=37.9686 K=26.0 exp=2007-07-20 hit_profit=True Tpx=$12.72 px=$12.84  contracts=1 pos_value=$1,284.10 qquity=$9,314.78 rsi=72.24819228092929 sigma=0.154 holding_days=149
entry_rsi_30 | 2006-12-20 ENTRY: S=37.6583 K=33.0 exp=2007-12-21 Tpx=$9.92 px=$6.62 contracts=1 cost=$662.31 rsi=49.40361012981803 sigma=0.1607
entry_rsi_20 | 2007-05-07 Exit: S=40.2142 K=31.0 exp=2007-11-16 hit_profit=False Tpx=$11.23 px=$10.03  contracts=1 pos_value=$1,002.52 qquity=$6,557.04 rsi=69.78942696305106 sigma=0.1698 holding_days=182
entry_rsi_20 | 2007-05-07 ENTRY: S=40.2142 K=34.0 exp=2008-05-16 Tpx=$12.29 px=$8.19 contracts=1 cost=$819.75 rsi=69.78942696305106 sigma=0.1698
entry_rsi_30 | 2007-06-18 Exit: S=41.2313 K=33.0 exp=2007-12-21 hit_profit=False Tpx=$9.92 px=$9.07  contracts=1 pos_value=$907.40 qquity=$9,559.22 rsi=61.849672606693126 sigma=0.1586 holding_days=180
entry_rsi_30 | 2007-06-26 ENTRY: S=40.4072 K=34.0 exp=2008-07-18 Tpx=$12.96 px=$8.64 contracts=1 cost=$864.61 rsi=47.660342617959486 sigma=0.1959
entry_rsi_20 | 2007-10-05 Exit: S=45.614 K=34.0 exp=2008-05-16 hit_profit=True Tpx=$12.29 px=$12.51  contracts=1 pos_value=$1,251.41 qquity=$6,988.05 rsi=73.24710045160738 sigma=0.1977 holding_days=151
entry_rsi_30 | 2007-10-08 Exit: S=45.8959 K=34.0 exp=2008-07-18 hit_profit=True Tpx=$12.96 px=$13.06  contracts=1 pos_value=$1,306.35 qquity=$10,000.30 rsi=74.78663704395889 sigma=0.2025 holding_days=104
entry_rsi_20 | 2007-10-11 ENTRY: S=45.475 K=36.0 exp=2008-10-17 Tpx=$17.20 px=$11.47 contracts=1 cost=$1,147.52 rsi=65.10887368810721 sigma=0.2242
entry_rsi_30 | 2007-11-08 ENTRY: S=44.6693 K=33.0 exp=2008-11-21 Tpx=$20.42 px=$13.62 contracts=1 cost=$1,362.27 rsi=42.22071022564181 sigma=0.2961
entry_rsi_20 | 2008-04-08 Exit: S=39.2821 K=36.0 exp=2008-10-17 hit_profit=False Tpx=$17.20 px=$4.97  contracts=1 pos_value=$497.43 qquity=$6,337.31 rsi=57.88302126937417 sigma=0.26030000000000003 holding_days=180
entry_rsi_20 | 2008-04-08 ENTRY: S=39.2821 K=30.0 exp=2009-04-17 Tpx=$15.63 px=$10.42 contracts=1 cost=$1,042.66 rsi=57.88302126937417 sigma=0.26030000000000003
entry_rsi_30 | 2008-05-06 Exit: S=42.3286 K=33.0 exp=2008-11-21 hit_profit=False Tpx=$20.42 px=$9.82  contracts=1 pos_value=$981.63 qquity=$9,619.01 rsi=68.8344885182497 sigma=0.2188 holding_days=180
entry_rsi_30 | 2008-06-10 ENTRY: S=41.9901 K=32.0 exp=2009-06-19 Tpx=$17.20 px=$11.47 contracts=1 cost=$1,147.15 rsi=48.45206078658345 sigma=0.2658
entry_rsi_20 | 2008-10-06 Exit: S=30.1969 K=30.0 exp=2009-04-17 hit_profit=False Tpx=$15.63 px=$4.98  contracts=1 pos_value=$498.39 qquity=$5,792.39 rsi=25.687541559632734 sigma=0.5536 holding_days=181
entry_rsi_20 | 2008-10-06 ENTRY: S=30.1969 K=17.0 exp=2009-10-16 Tpx=$21.52 px=$14.35 contracts=1 cost=$1,435.56 rsi=25.687541559632734 sigma=0.5536
entry_rsi_30 | 2008-12-08 Exit: S=26.0561 K=32.0 exp=2009-06-19 hit_profit=False Tpx=$17.20 px=$2.39  contracts=1 pos_value=$239.12 qquity=$8,710.33 rsi=51.93770421149645 sigma=0.5717 holding_days=181
entry_rsi_30 | 2008-12-11 ENTRY: S=25.1975 K=15.0 exp=2009-12-18 Tpx=$16.67 px=$11.11 contracts=1 cost=$1,111.75 rsi=47.8987460135184 sigma=0.5206000000000001
entry_rsi_20 | 2009-04-06 Exit: S=28.0364 K=17.0 exp=2009-10-16 hit_profit=False Tpx=$21.52 px=$11.22  contracts=1 pos_value=$1,122.00 qquity=$5,478.18 rsi=65.30952896195518 sigma=0.4156 holding_days=182
entry_rsi_20 | 2009-04-06 ENTRY: S=28.0364 K=18.0 exp=2010-04-16 Tpx=$16.24 px=$10.83 contracts=1 cost=$1,083.50 rsi=65.30952896195518 sigma=0.4156
entry_rsi_30 | 2009-06-02 Exit: S=31.6634 K=15.0 exp=2009-12-18 hit_profit=True Tpx=$16.67 px=$16.70  contracts=1 pos_value=$1,670.16 qquity=$9,268.08 rsi=69.6510067960547 sigma=0.3061 holding_days=173
entry_rsi_30 | 2009-06-22 ENTRY: S=30.521 K=21.0 exp=2010-07-16 Tpx=$15.18 px=$10.12 contracts=1 cost=$1,012.37 rsi=46.3623398961971 sigma=0.3141
entry_rsi_20 | 2009-07-23 Exit: S=34.2368 K=18.0 exp=2010-04-16 hit_profit=True Tpx=$16.24 px=$16.30  contracts=1 pos_value=$1,630.39 qquity=$6,024.42 rsi=76.76189710253624 sigma=0.2587 holding_days=108
entry_rsi_20 | 2009-08-06 ENTRY: S=34.2624 K=25.0 exp=2010-08-20 Tpx=$14.75 px=$9.83 contracts=1 cost=$983.78 rsi=65.94500855929137 sigma=0.2636
entry_rsi_30 | 2009-09-11 Exit: S=36.1215 K=21.0 exp=2010-07-16 hit_profit=True Tpx=$15.18 px=$15.21  contracts=1 pos_value=$1,521.06 qquity=$9,776.13 rsi=68.22774333775834 sigma=0.2529 holding_days=81
entry_rsi_30 | 2009-10-01 ENTRY: S=35.7104 K=26.0 exp=2010-10-15 Tpx=$15.65 px=$10.44 contracts=1 cost=$1,044.16 rsi=46.532210605740175 sigma=0.2895
entry_rsi_20 | 2009-12-23 Exit: S=39.7455 K=25.0 exp=2010-08-20 hit_profit=True Tpx=$14.75 px=$14.82  contracts=1 pos_value=$1,481.53 qquity=$6,521.53 rsi=66.62415321561625 sigma=0.1967 holding_days=139
entry_rsi_20 | 2009-12-23 ENTRY: S=39.7455 K=31.0 exp=2011-01-21 Tpx=$13.88 px=$9.25 contracts=1 cost=$925.91 rsi=66.62415321561625 sigma=0.1967
entry_rsi_30 | 2010-03-18 Exit: S=41.7324 K=26.0 exp=2010-10-15 hit_profit=True Tpx=$15.65 px=$15.79  contracts=1 pos_value=$1,579.41 qquity=$10,310.73 rsi=76.02366766573532 sigma=0.1724 holding_days=168
entry_rsi_30 | 2010-05-04 ENTRY: S=42.3032 K=31.0 exp=2011-05-20 Tpx=$18.00 px=$12.00 contracts=1 cost=$1,200.45 rsi=44.6876464232628 sigma=0.2609
entry_rsi_20 | 2010-06-21 Exit: S=40.7047 K=31.0 exp=2011-01-21 hit_profit=False Tpx=$13.88 px=$10.01  contracts=1 pos_value=$1,001.15 qquity=$6,596.11 rsi=52.88987787675472 sigma=0.2557 holding_days=180
entry_rsi_20 | 2010-06-21 ENTRY: S=40.7047 K=30.0 exp=2011-07-15 Tpx=$17.02 px=$11.35 contracts=1 cost=$1,135.25 rsi=52.88987787675472 sigma=0.2557
entry_rsi_30 | 2010-11-01 Exit: S=45.8058 K=31.0 exp=2011-05-20 hit_profit=False Tpx=$18.00 px=$14.87  contracts=1 pos_value=$1,486.59 qquity=$10,596.22 rsi=73.48030419277555 sigma=0.22920000000000001 holding_days=181
entry_rsi_20 | 2010-11-04 Exit: S=47.0832 K=30.0 exp=2011-07-15 hit_profit=True Tpx=$17.02 px=$17.13  contracts=1 pos_value=$1,713.18 qquity=$7,173.39 rsi=81.5453470282634 sigma=0.1954 holding_days=136
entry_rsi_20 | 2010-11-12 ENTRY: S=46.0612 K=35.0 exp=2011-11-18 Tpx=$17.47 px=$11.65 contracts=1 cost=$1,165.22 rsi=57.405901885038645 sigma=0.2255
entry_rsi_30 | 2010-11-16 ENTRY: S=45.1254 K=34.0 exp=2011-11-18 Tpx=$17.60 px=$11.74 contracts=1 cost=$1,174.26 rsi=45.27992719095934 sigma=0.2373
entry_rsi_30 | 2011-02-16 Exit: S=51.7529 K=34.0 exp=2011-11-18 hit_profit=True Tpx=$17.60 px=$17.83  contracts=1 pos_value=$1,783.49 qquity=$11,204.79 rsi=71.90623644311914 sigma=0.18230000000000002 holding_days=92
entry_rsi_30 | 2011-02-22 ENTRY: S=50.1269 K=38.0 exp=2012-03-16 Tpx=$19.31 px=$12.88 contracts=1 cost=$1,288.18 rsi=47.132435053110655 sigma=0.2339
entry_rsi_20 | 2011-05-11 Exit: S=51.784 K=35.0 exp=2011-11-18 hit_profit=False Tpx=$17.47 px=$16.82  contracts=1 pos_value=$1,681.83 qquity=$7,689.35 rsi=58.65841036903925 sigma=0.1741 holding_days=180
entry_rsi_20 | 2011-05-11 ENTRY: S=51.784 K=42.0 exp=2012-05-18 Tpx=$15.48 px=$10.32 contracts=1 cost=$1,032.63 rsi=58.65841036903925 sigma=0.1741
entry_rsi_30 | 2011-08-22 Exit: S=44.3492 K=38.0 exp=2012-03-16 hit_profit=False Tpx=$19.31 px=$8.96  contracts=1 pos_value=$896.28 qquity=$10,812.24 rsi=34.491455351820036 sigma=0.4203 holding_days=181
entry_rsi_30 | 2011-08-22 ENTRY: S=44.3492 K=28.0 exp=2012-09-21 Tpx=$26.28 px=$17.52 contracts=1 cost=$1,752.60 rsi=34.491455351820036 sigma=0.4203
entry_rsi_20 | 2011-11-07 Exit: S=51.5113 K=42.0 exp=2012-05-18 hit_profit=False Tpx=$15.48 px=$10.38  contracts=1 pos_value=$1,037.84 qquity=$7,693.91 rsi=56.560687944100074 sigma=0.2883 holding_days=180
entry_rsi_20 | 2011-11-07 ENTRY: S=51.5113 K=37.0 exp=2012-11-16 Tpx=$23.03 px=$15.36 contracts=1 cost=$1,536.16 rsi=56.560687944100074 sigma=0.2883
entry_rsi_30 | 2012-02-02 Exit: S=54.3269 K=28.0 exp=2012-09-21 hit_profit=True Tpx=$26.28 px=$26.35  contracts=1 pos_value=$2,635.18 qquity=$11,694.17 rsi=75.13930228263285 sigma=0.1889 holding_days=164
entry_rsi_20 | 2012-03-26 Exit: S=60.5558 K=37.0 exp=2012-11-16 hit_profit=True Tpx=$23.03 px=$23.60  contracts=1 pos_value=$2,360.11 qquity=$8,517.21 rsi=80.5610999079186 sigma=0.1592 holding_days=140
